CompName,NewEhullLst,EWaldSumLst,EFormLst,RDiffLst,RDiffStdLst,RDiffNaLst,EleNegStdLst,XDiffLst,AnionXStdLst,XWithNaLst,ChgDiffLst,ChgStdLst,AnionChgStdLst,NNaLst,RRatioNaLst
NaHfInP2SO12,-0.2865581051868702,-55.99402975818222,-2.2566060648148145,0.09000000000000008,0.04500000000000004,-0.2650000000000001,0.24,0.48,0.1838477631085024,0.61,1.0,0.5,0.4714045207910317,1.0,0.7401960784313725
Na3Mg2Ta4(PO4)9,-2.305529678357086,-55.33275682651056,-2.507181075308645,0.07999999999999996,0.03771236166328251,-0.3533333333333334,0.089566858950296,0.18999999999999995,0.0,0.5066666666666667,3.0,1.4142135623730951,0.0,1.0,0.65359477124183
NaTaGa(PO4)3,-9.646794992758066,-55.17463093133831,-2.3533741555555547,0.020000000000000018,0.010000000000000009,-0.39,0.15500000000000003,0.31000000000000005,0.0,0.7249999999999998,2.0,1.0,0.0,1.0,0.6176470588235294
NaNbAl(PO4)3,-17.465743405457655,-55.27980583377461,-2.460758261111107,0.10499999999999998,0.05249999999999999,-0.4325,0.0050000000000000044,0.010000000000000009,0.0,0.6749999999999999,2.0,1.0,0.0,1.0,0.5759803921568628
NaTaAl(PO4)3,-18.244943140902592,-55.44393216800286,-2.5296931222222216,0.10499999999999998,0.05249999999999999,-0.4325,0.05500000000000005,0.1100000000000001,0.0,0.6250000000000001,2.0,1.0,0.0,1.0,0.5759803921568628
NaScNb(PO4)3,-6.697017214978905,-54.67761823681108,-2.559853294444444,0.10499999999999998,0.05249999999999999,-0.3275,0.12,0.24,0.0,0.5499999999999999,2.0,1.0,0.0,1.0,0.678921568627451
NaScTa(PO4)3,-4.610674622374143,-54.853828425660176,-2.6287881555555552,0.10499999999999998,0.05249999999999999,-0.3275,0.06999999999999995,0.1399999999999999,0.0,0.5000000000000001,2.0,1.0,0.0,1.0,0.678921568627451
NaZrTi(PO4)3,-2.025952400143092,-54.5443933967098,-2.642124924074072,0.11499999999999999,0.057499999999999996,-0.35750000000000004,0.10499999999999998,0.20999999999999996,0.0,0.505,0.0,0.0,0.0,1.0,0.6495098039215685
NaZrSn(PO4)3,-5.42290949738584,-54.08889952900722,-2.396968502777776,0.030000000000000027,0.015000000000000013,-0.31500000000000006,0.31499999999999995,0.6299999999999999,0.0,0.715,0.0,0.0,0.0,1.0,0.6911764705882353
NaHfZr(PO4)3,-8.207433881628655,-54.134108935511875,-2.7570954055555563,0.010000000000000009,0.0050000000000000044,-0.30500000000000005,0.015000000000000013,0.030000000000000027,0.0,0.3849999999999999,0.0,0.0,0.0,1.0,0.7009803921568627
NaTi2(PO4)3,-1.0915703194566624,-55.0310753969526,-2.5685098592592595,0.0,0.0,-0.41500000000000004,0.0,0.0,0.0,0.61,0.0,0.0,0.0,1.0,0.5931372549019608
NaTiGe(PO4)3,-3.7437301779272385,-55.30511263972904,-2.2975575157407366,0.07499999999999996,0.03749999999999998,-0.4525,0.23499999999999988,0.46999999999999975,0.0,0.8449999999999999,0.0,0.0,0.0,1.0,0.5563725490196079
NaHfTi(PO4)3,-6.190859807561909,-54.620148780773704,-2.683480340740738,0.10499999999999998,0.05249999999999999,-0.36250000000000004,0.12,0.24,0.0,0.4899999999999999,0.0,0.0,0.0,1.0,0.6446078431372548
NaSn2(PO4)3,-0.14416291207591092,-54.24448505341674,-2.078197016666666,0.0,0.0,-0.33000000000000007,0.0,0.0,0.0,1.0299999999999998,0.0,0.0,0.0,1.0,0.676470588235294
NaHfSn(PO4)3,-7.951439062200814,-54.24278752433758,-2.4383239194444433,0.020000000000000018,0.010000000000000009,-0.32000000000000006,0.32999999999999996,0.6599999999999999,0.0,0.6999999999999998,0.0,0.0,0.0,1.0,0.6862745098039215
Na2Hf4Si3(SO8)3,-9.28303927385017,-54.93733345270813,-2.5222831486111152,0.0,0.0,-0.31000000000000005,0.0,0.0,0.3400000000000001,0.37,0.0,0.0,1.0,1.0,0.696078431372549
Na3MgNb5Si3(PO6)6,-12.012586818755377,-53.95785411791239,-2.4993137000514416,0.07999999999999996,0.029814239699997185,-0.3666666666666667,0.10807661891248986,0.29000000000000004,0.1367073110293992,0.6216666666666667,3.0,1.118033988749895,0.4714045207910317,1.0,0.6405228758169934
Na3MgTa5Si3(PO6)6,-16.89907665928679,-54.09937955556786,-2.612178116718109,0.07999999999999996,0.029814239699997185,-0.3666666666666667,0.07080881928749333,0.18999999999999995,0.1367073110293992,0.5383333333333332,3.0,1.118033988749895,0.4714045207910317,1.0,0.6405228758169934
Na3Ta5ZnSi3(PO6)6,-3.883526247761548,-54.08523522666079,-2.561192408179013,0.09999999999999998,0.03726779962499649,-0.3633333333333333,0.055901699437494706,0.1499999999999999,0.1367073110293992,0.5949999999999999,3.0,1.118033988749895,0.4714045207910317,1.0,0.6437908496732027
Na3CaTa5Si3(PO6)6,-6.6177947662800936,-53.99367346815138,-2.632106357253087,0.36,0.1341640786499874,-0.32000000000000006,0.18633899812498245,0.5,0.1367073110293992,0.48666666666666647,3.0,1.118033988749895,0.4714045207910317,1.0,0.6862745098039215
Na2Nb3GaSi2(PO6)4,-4.490265737451143,-53.81258179511206,-2.4346681578703717,0.020000000000000018,0.008660254037844395,-0.385,0.09093266739736605,0.20999999999999996,0.1367073110293992,0.7225000000000003,2.0,0.8660254037844386,0.4714045207910317,1.0,0.6225490196078431
Na2Ta3GaSi2(PO6)4,-5.614673607846948,-53.958208036625955,-2.537288599537039,0.020000000000000018,0.008660254037844395,-0.385,0.13423393758658803,0.31000000000000005,0.1367073110293992,0.6475000000000001,2.0,0.8660254037844386,0.4714045207910317,1.0,0.6225490196078431
Na2Ta3AlSi2(PO6)4,-10.688274996733632,-54.07962983099775,-2.622816240740739,0.10499999999999998,0.045466333698683026,-0.40625,0.04763139720814417,0.1100000000000001,0.1367073110293992,0.5974999999999998,2.0,0.8660254037844386,0.4714045207910317,1.0,0.6017156862745098
Na2ScTa3Si2(PO6)4,-10.600962496737248,-53.82378997995112,-2.671557824537039,0.10499999999999998,0.04546633369868302,-0.35375,0.06062177826491066,0.1399999999999999,0.1367073110293992,0.535,2.0,0.8660254037844386,0.4714045207910317,1.0,0.6531862745098039
Na2Nb3InSi2(PO6)4,-2.4613661425883997,-53.615818079192564,-2.4246267884259205,0.16000000000000003,0.0692820323027551,-0.3400000000000001,0.07794228634059945,0.17999999999999994,0.1367073110293992,0.7150000000000004,2.0,0.8660254037844386,0.4714045207910317,1.0,0.6666666666666666
Na2Ta3InSi2(PO6)4,-5.212559718960058,-53.740064826403156,-2.5260744550925898,0.16000000000000003,0.0692820323027551,-0.3400000000000001,0.12124355652982143,0.28,0.1367073110293992,0.6399999999999998,2.0,0.8660254037844386,0.4714045207910317,1.0,0.6666666666666666
NaTiNbSi(PO6)2,-10.960464933902367,-53.753384280709184,-2.569117370833332,0.03500000000000003,0.017500000000000016,-0.39749999999999996,0.030000000000000027,0.06000000000000005,0.1367073110293992,0.6399999999999998,1.0,0.5,0.4714045207910317,1.0,0.6102941176470589
NaNbSiSn(PO6)2,-7.8508816005707,-53.42265984955519,-2.3252125384259266,0.04999999999999993,0.024999999999999967,-0.355,0.17999999999999994,0.3599999999999999,0.1367073110293992,0.8500000000000002,1.0,0.5,0.4714045207910317,1.0,0.6519607843137255
